Glandorf 22;46,747458;14,384827;9300;St  Veit;Glandorf 22
Maria-Gailer-Straße 28, 9500 Villach;46,60522;13,86346;9500;Villach;Maria-Gailer-Straße 28
Gailtal Straße  21, 9620 Hermagor;46,62592;13,37415;9620;Hermagor;Gailtal Straße  21
Kärntnerstraße 69, 9900 Lienz;46,83161;12,78125;9900;Lienz;Kärntnerstraße 69
Zgurner Straße 1, 9800 Spittal;46,78219;13,53358;9800;Spittal;Zgurner Straße 1
Kindergartenstraße  2, 9560 Feldkirchen;46,72407;14,08646;9560;Feldkirchen;Kindergartenstraße  2
Feldkirchner Straße 266, 9020 Klagenfurt am Wörthersee;46,65121;14,28348;9020;Klagenfurt am Wörthersee;Feldkirchner Straße 266
St  Jakober Straße 2, 9020 Klagenfurt;46,62872;14,35976;9020;Klagenfurt;St  Jakober Straße 2
Klagenfurter Straße 44, 9100 Völkermarkt;46,65916;14,61525;9100;Völkermarkt;Klagenfurter Straße 44
Tatzerschachtweg 2, 9400 Wolfsberg;46,81764;14,83448;9400;Wolfsberg;Tatzerschachtweg 2
Bahnhofstraße  1, 8582 Rosental an der Kainach;47,05344;15,12638;8582;Rosental an der Kainach;Bahnhofstraße  1
Gewerbepark Süd 18, 8431 Gralla;46,80563;15,56472;8431;Gralla;Gewerbepark Süd 18
Weblinger Gürtel 29, 8054 Graz;47,03337;15,41917;8054;Graz;Weblinger Gürtel 29
Sankt-Peter-Gürtel 12, 8042 Graz;47,03647;15,48528;8042;Graz;Sankt-Peter-Gürtel 12
C v Hötzendorfstraße  103a, 8010 Graz;47,05399;15,44926;8010;Graz;C v Hötzendorfstraße  103a
Wiener Straße 372, 8051 Graz;47,10456;15,40108;8051;Graz;Wiener Straße 372
Gesäuse Straße  30, 8940 Liezen;47,55984;14,25779;8940;Liezen;Gesäuse Straße  30
Arena am Waldfeld 31, 8753 Fohnsdorf;47,18416;14,68189;8753;Fohnsdorf;Arena am Waldfeld 31
Leobner Straße  80, 8600 Bruck an der Mur;47,402092;15,241594;8600;Bruck an der Mur;Leobner Straße  80
Grazer Straße  85a, 8682 Mürzzuschlag;47,58275;15,65001;8682;Mürzzuschlag;Grazer Straße  85a
Am Spitz 3, 2620 Neunkirchen;47,71824;16,06872;2620;Neunkirchen;Am Spitz 3
Prof -Dr -Stephan-Koren-S, 2700 Wiener Neustadt;47,8393;16,24568;2700;Wiener Neustadt;Prof -Dr -Stephan-Koren-S
Aymergasse 2, 2320 Schwechat;48,1381;16,4904;2320;Schwechat;Aymergasse 2
Litfaßstrasse 8, 1030 Wien;48,18648;16,40872;1030;Wien;Litfaßstrasse 8
Groß-Enzersdorfer-Straße 39, 1220 Wien;48,21698;16,49522;1220;Wien;Groß-Enzersdorfer-Straße 39
Hofstetten 3, 2230 Gänserndorf;48,33433;16,70884;2230;Gänserndorf;Hofstetten 3
Sverigestrasse 1B, 1220 Wien;48,25479;16,47327;1220;Wien;Sverigestrasse 1B
Brünnerstraße 74, 1210 Wien;48,27113;16,40574;1210;Wien;Brünnerstraße 74
Aufeldgasse 42, 3400 Klosterneuburg;48,29373;16,33806;3400;Klosterneuburg;Aufeldgasse 42
Schadinagasse 7-9, 1170 Wien (17 Bezirk);48,22338;16,32027;1170;Wien (17 Bezirk);Schadinagasse 7-9
Hornerstraße 99a, 2000 Stockerau;48,38865;16,18207;2000;Stockerau;Hornerstraße 99a
Am Kuhberg 5, 3580 Horn-Frauenhofen;48,667;15,63449;3580;Horn-Frauenhofen;Am Kuhberg 5
Albrechtser Straße  9, 3950 Gmünd;48,75929;14,99284;3950;Gmünd;Albrechtser Straße  9
Kremser Straße  56, 3910 Zwettl;48,60383;15,18221;3910;Zwettl;Kremser Straße  56
Altweidlinger Straße 4, 3500 Krems an der Donau;48,40782;15,65455;3500;Krems an der Donau;Altweidlinger Straße 4
Europastraße  13, 3442 Langenrohr;48,3185;16,01898;3442;Langenrohr;Europastraße  13
Tullner Straße  10, 3040 Neulengbach;48,21187;15,91066;3040;Neulengbach;Tullner Straße  10
Manker Straße  61, 3380 Pöchlarn;48,19855;15,22043;3380;Pöchlarn;Manker Straße  61
Waidhofner Straße  144, 3300 Amstetten;48,11857;14,85312;3300;Amstetten;Waidhofner Straße  144
Etzelstraße  1, 4300 St  Valentin;48,16749;14,5135;4300;St  Valentin;Etzelstraße  1
Heinrichsbrunn 1, 4310 Mauthausen;48,240418;14,533671;4310;Mauthausen;Heinrichsbrunn 1
Linzer Straße  72, 4240 Freistadt;48,49465;14,50262;4240;Freistadt;Linzer Straße  72
Freistädterstraße  302, 4040 Linz-Dornach;48,32964;14,3148;4040;Linz-Dornach;Freistädterstraße  302
Wiener Straße  432, 4030 Linz;48,25066;14,32272;4030;Linz;Wiener Straße  432
Kornstraße  2, 4060 Linz-Leonding;48,26047;14,25778;4060;Linz-Leonding;Kornstraße  2
Aubauerstraße  33, 4810 Gmunden;47,9327;13,78647;4810;Gmunden;Aubauerstraße  33
